id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,cluster hierarchical complete,cluster hierarchical average,cluster hierarchical single
36089470742,22297671@N03,45.761602,4.828984,,Lyon-2017-07-29-040-TheWeightOfOneself,24,12,29,7,2017,5,4,0
8730383321,32215553@N02,45.741172,4.81832,"france,lyon,rhône,confluence,centrecommercial,rhônealpes",Lyon - Confluence,10,22,28,7,2012,5,4,0
14563944646,123834818@N02,45.786881,4.854272,"rhône,viaduc,agc,76500,x76500,ter,lyon,sncf,x76531,x76532,x76775,x76776,x76773,x76774,train,bahn",AGC sur le viaduc de Saint-Clair,22,11,6,7,2014,5,4,0
27241484956,136607346@N03,45.762411,4.821764,"france,35mm,nikon,lyon,rhône,f18,nuit,fourvière,saone,3518,d5300",Basilique de Fourvière - Lyon,34,0,22,5,2016,5,4,0
8658582922,25392237@N06,45.769666,4.830333,"villedelyon,lyoncity,22032013",Photo 943,42,17,22,3,2013,5,4,0
34806326460,113391938@N03,45.784919,4.855083,,,15,19,8,6,2017,5,4,0
6173997494,34879782@N00,45.731344,4.734613,,IMG18383.jpg,37,19,2,7,2011,4,1,1
48284525512,20425047@N00,45.76363,4.839672,,MVIMG_20190714_164739,47,16,14,7,2019,5,4,0
42068489052,38107537@N03,45.751498,4.823212,"lyon,borgonha,frança","Lyon – Borgonha, França",0,0,1,2,1991,5,4,0
10383192623,83294602@N03,45.763593,4.827482,"lyon,vieux,traboule",IMG_8697,30,16,19,10,2013,5,4,0
6363945119,65650667@N07,45.762343,4.857115,"art,architecture,lyon,grd3,grdiii",Lyon Part-Dieu,47,15,19,11,2011,5,4,0
21390731923,124810342@N04,45.811388,4.968333,"france,lac,animaux,fr,miribel,oiseau,étang,rhone,ain,rhônealpes,ornithologie,jonage",Héron cendré (Ardea cinerea),23,10,3,10,2015,3,0,2
19355674966,24271543@N03,45.741322,4.816775,"france,lyon,rhône,69,est,rhônealpes,photogeorges","Lyon, Rhône",10,16,30,6,2015,5,4,0
9837486364,78627699@N00,45.763002,4.832589,france,IMG_3478,20,18,28,6,2013,5,4,0
16156255979,95921949@N04,45.768197,4.829286,,Place Rambaud à Lyon,20,17,22,1,2015,5,4,0
40915937113,128576257@N08,45.758116,4.884797,,IMG_4293,32,16,4,9,2016,5,4,0
